filename,label,num_apis,has_process_injection,has_network_c2,has_persistence,has_anti_debug,has_priv_escalation,matched_behaviors,m4_score_rules,m4_score,m4_source
0b1b50e30ff8e7d5b755869762fb0026d774aaf68834f1c25fed867295147430a5a0eb8b69a0f1cfa65fd2be235375651e702b0c4c5aad39ebf72e6364bc22e1e2274c65e4eab302a7f9b3b9e9b4a6367faa458b1c4edd7fa1d1f3f38ae7b6d5d577074d.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
0b1f652a67e1d1aee2d9dc4aa3bb1d7533321d4fc75578b2161eceb8a5ae1847928f0a5209092bc69076cf79699fb081aa287c2602ecd84ecd9df5c1cb2fef06abe6d4f7de656360cde149d184ec27a6db381c218b9dce936d92ac4f4f6e062419f46c60.exe,blaster,100,0,1,0,0,0,Timing Evasion,0.45,1.0,cnn_lstm
0b5d1883d4f71fbccb5f481595d9bf4039aa38ac7b902749fac99d8221345aadb0df89c4d7a1abd2ba140870d98c4637cb2f1efaf90e31f10eab7d41352521cbe09b9c4ad3c9314463172035a6106c135a90ff8e1b9b88f9f109c07b4160b9dcf8308109.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
0b7c63a6f3718ad8773e7a580df24ce74f3e191ae505ea3d6a9b347946f61ca2911316d077ce795f2a20f4b7849707ef1e2652e1a2f0cc533c345e9eb6ef571d93b0e21392f92bd6f86708e523fbd1e6180420384a6b11c36f8913df4b475dd83a11bdc9.exe,blaster,7,0,0,0,0,0,,0.0,0.999804,cnn_lstm
0b8c805c8639e4e0dac3029460375af4c292f8fd474310008e8ee982ec3d117462c7ebe994d0ce49ed4f59efcfd095d65cd8c56fe913de5840c33d40edd7c4078aac084dabb119264685b47ec1a86160f6f9108c30336ca978836d86acbe9c368112a891.exe,blaster,70,0,0,0,0,1,Privilege Escalation,0.7,1.0,cnn_lstm
0b77ca4915748d53a82a324c4c144f7a8459a224c19ab31b099975945d1c2a7dafd034203a6ec8d63ec70d2aef040a5a6a2f57212b8e55d7745d4daa753f2a48d025cff5c996f6c0d49cffe1da2e8551209d12739f47c9081e76cb36b8470b4ffff441ca.exe,blaster,100,0,0,0,0,0,,0.0,1.0,cnn_lstm
0b548e160a8bcaea742501c3b1d407423ae7ccf7f0499b8ecc8611eb815fedc2fe0098573de8f3d1df3ca93c9ca2f29d4c4adc0341d7fe59c80a69161890351057e653af4a5bb39f779f7abfd6e179bd34f377914bfdc2603f6fbeb0151b63253ed03670.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
0b2804c747c0c2c2c407c91f6bb3e820b43bb8bf60b26ad8397c188310ab1e20dddd3c8bb513269dee7bc13a2c8efbb37ae905bb9288ff96667bf5e311bf978a742078d82eba89543fe12e596aca46b5a0d6bf779b853f067c7a1a949e780b800717b07f.exe,blaster,100,0,0,0,0,0,Timing Evasion,0.45,1.0,cnn_lstm
0b6747d8da610bf96fa58a54b53cde8587da915dfc6afaa4c90a86e95fd984924d63436c31193ed606e386cec9f0ff275bcd4ec30815215d931a1607c6c7e31e876496c8895e4f217a14be39b2418d5e081f97aa5f67b70d5efc89317527fa8757545aaa.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
0baf9137aaa29acf6ffef1a6db1ec4c29668069f5da7e6083d5a8e3e2de4bed68b87e31809429b131d2accfa05249d6e98b7bd55cb8f99a0564212cf35f9d02a56c7139954dd3b947541bf3697344149e32948d1affd990ad14a15d614a20f54c658a184.exe,blaster,100,0,0,0,0,0,,0.0,1.0,cnn_lstm
0bb6a190bd7534d4d132621938de60332381832566f9b495368c794578feeef651306a48962afdc4fd72f55fa5386bd5919bde7ef37e9e6c97c69cbf4465b3fb0c177c8bebf7939d6c19ed84057359bfed667c6e36a5015b64c86eaa8d20303644f08c24.exe,blaster,5,0,0,0,0,0,,0.0,0.956998,cnn_lstm
0bb083c63448144b595d43f6d856c20a4699d159d3d6925ed5bd6feee2e09a190ad3738b75f3182f9c3ca392e368ed0dc79497cc1d5d4913e5762a9e8c6dd8ab0a5762fa70721e6b67207ecb44502d4c8a69b99c6e2e5c26e9604d35148244fe161430d2.exe,blaster,3,0,0,0,0,0,,0.0,0.995317,cnn_lstm
0c0cbc1adf14eb74c13baec588fb84b0417cb0c71459ce61daec999826da477f23e7204cf92f1231c12d5bfcc94e78309608ab0ca0c37f32d4ef2ff167c0cea03a3793272e17e83fccc205de980e5d795ebfd5de58df08fe52b080bb961f56723f99f8b0.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
0c1c171d495c7da7ff9b52d4c80d9790158b8f114a2e142668abe9c6ec3eaed8dfd1ed54d79a4ef0bbcc60847f562d8924a896960dee7b0f3c37a99c78e64514e39fe36cc6fba9268413825e4290c3596c8636c5ca187bcc7209d534e7a246bd0afb1019.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
0c6d6bcfa1132ae1dc5d0557b8148ac255747d52684fc9a734d255e861a2a874572d1e764665fb791294211ede3a8d10cc35052d72ee420f1516e42f77feada1a4e6657e39ccdf1d40272bd8f73401d4fe6d0fe55de0052b9a2ce0dabfa354b6ed92c3ee.exe,blaster,8,0,0,0,0,0,,0.0,0.999295,cnn_lstm
0c038b22f5f6a9022072c70859be6e58ae810e3dc819edbc9c86a97f1bbaa425cd3f39560fbe4cabf16cd10f48a4c767f98c7c68142d7ca90ff3b23bf6e0857d8f891b1a0d17aadd0b56d080a3f68609dc2cd3a3f714b3328c656088b9e01e874288f54a.exe,blaster,100,0,1,0,0,0,Timing Evasion,0.45,1.0,cnn_lstm
0c227bcb87c011c8128c8932499a3f73e6b115de27c09de049adb9dfdcc180fdb360304aaeb50ae4b5a182d7dae7f8a889e0b97ae9d3591ad018f37c8f7e0241f2e2f9fb64d9774dad55d5206803b4b794949185573119df9ae3cc039953394ae79a9132.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
0c710def4838a24e45270310ebf0403561cdbf01f0711008d17fe73666654ae6e08a2d7b3de3674142d8e8f0ae9d4a586d09db1e6b468c6607bbcb152421569a6217e8c400c0e7ffa81ce1eaf2c2ff3395f85a198a977a049c6b33c440d28cda6ba60027.exe,blaster,53,0,1,1,0,0,Timing Evasion|Network+Persistence Combo,0.5,1.0,cnn_lstm
0c920c27705b4042b1fa525b920394d416e056c04361ab0200877047d44358f4f573ad0d0a0e510a9047507e161d6c4f947aabe2098ac6650127236696b6a4ffcce2a4302b2373da573cb40ca38185dccb8c8d8f77e969de119509fe6e397de530da9a54.exe,blaster,100,0,0,0,0,0,Timing Evasion,0.45,1.0,cnn_lstm
0c2621b528be0fd9ce5ee02f4c37421f6f6113b63875058b2802dfebc23aa5a2949816601ed68032dbe0cd83ce14878a3474473fab38c5dfc0152bb4cc9eaae7b3d205d77d385661f8b65e1a8637ee64d5b852e1d0d79a0a868e45e8610e0dd7d2368f00.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
0c4042bd39a9ff166f1be2cab5f61ee553f4445cea2e574b4c2ccc73ea2c1d26edd333fb054c93aa2fe6957f3c8727c0acff47b4be3dbdc81bcda9130f980f7761b09e8becff3669154a4760cee55e8ca7caac1af6dc1b7ef08c4c02c6a46abb2b812d80.exe,blaster,100,0,0,0,0,0,,0.0,0.999999,cnn_lstm
0cdb783e106cc4ae4478054d4d681b47d869a97b63458bb7e39bae454c8b0808f68e5b74a446d383a55599a97fb0dd0907c230101d5ab671890722f6f484b468536beb3f9f374039c57e9101be11a693129b396bb922ea9c0f08edf5b5ed05e6ae1e899f.exe,blaster,53,0,1,1,0,0,Timing Evasion|Network+Persistence Combo,0.5,0.999998,cnn_lstm
0ce53d670760abd7395fff056ff46bc02e46824400dcb769863f686071d1fbe543e1a61876f5112362f4462553f4ed9d06d48798c9e466d0871f955dcb29c2d9398bfdb678de0aa36ca1fe86746dce94a8be83fc8435d7ca3008b58cbcd72b1ad0ceda3a.exe,blaster,2,0,0,0,0,0,,0.0,0.898375,cnn_lstm
0cf6a4fa94f9a7705ec4fb68b7252eeb482b1d62e5d44ec02cf7ed732642925707ece724bedbcae22e67e75aa51165e2a1a2835979f4b529101d33b1cf0b1c021dafaec7711123e5aa855ff531b0c4ef48ec51fa924a0903cce1f984cdf4b3a21bad10c5.exe,blaster,3,0,0,0,0,0,,0.0,0.994112,cnn_lstm
0d3d0ad6ca19804a10c303ae090ece1455b81bf60d5e0254e4e9d18f43edc5e2642ef2cf7e15b45910e5ab9cd0bc0b0ae503d1f63577f39671732858b606e1f11d2db5f4f92cb3417fe630d7742a112cd4c6f226b74df9fc8537453d152369abc1fdad73.exe,blaster,7,0,0,0,0,0,,0.0,0.999842,cnn_lstm
0d5b9486db8081f91ee2de326174a81f88b730ec22cfc316eaaa350cc738fb76c75e4fe2b6bb1fd064b5a8d689859b79c417ff82c6dae46d01812d046085523cec66d998fe60381451c0435b57a64c6a1adcf18dee118cdb7d9d8ae84fbd20fa208adb10.exe,blaster,3,0,0,0,0,0,,0.0,0.995317,cnn_lstm
0d5fbec5581d6e2d1cac6c26ddcc8171e5bcd4f90ce566008f403ce2ddfc93b24292dca9c79e0b22c6631c8a049698850d44a1181ecee47b5c2cd494b8058c28b25706be5765da9db828dc7c92e0722118e464497008dadbef2671dea3a2028f4d465058.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
0d22a0944de57fb4e7caee5a6854125958a27bbe711af5275afd5f62de2704320c068ea6c97842745a87e1de890221bffcf78142600edc0dcea8cdafbd9677f685cabd8e53c4dd87a631e21169dd890042688d83405bdde83150558f5b4c28c69f2a6372.exe,blaster,7,0,0,0,0,0,,0.0,0.999942,cnn_lstm
0d42a48bbdb54c37b7bcacecf9f9705b0ef8e886dc16328329449c0ff2d2e313f0dd895ef15eaea5a9542e6fa5c74ec746ce1118b1bf4f1fe6cf4a95574563158d7144de5b5bde24d3e8f761d2eaf7d5d7c6e91973cd651bb4098c066a4a79ed381464d8.exe,blaster,100,0,1,0,0,0,Timing Evasion,0.45,1.0,cnn_lstm
0d834f0c2c84f28d3c0586662774b2ae72c71365aef50bd40adc2fb1518dc9c99426c0c1c592c7d0aca21b67f7c60d4db5e1112adbfb8fab0abfb38ef63cdca7b49892b7e9da5ad5f4075cdedc130e08e8fd545ca52f32bdd462eb5192f8946e45a273c4.exe,blaster,7,0,0,0,0,0,,0.0,0.999942,cnn_lstm
0da722bd07b84c315ccef3e60300c9c4144e0800be206b987170ca893b562e89304579e4a80ed7f5e9fd1a543fb21306456ae6117cb1dd7aed5aef1664aacc357f4ccb84c4d5d8c30317b3b06f79b1dd16c0c854d2633372d67de599f17f831f725d48a6.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
0daca3adda5126f6bd5307f6813386a4a0bc8a0be2f54f8cdf3f86a63e141c022d07e50a841efc94af84f3264f9d03cc4a1cb5f3f5a847aebee0621c0813c611e08030a9df22b38fd803212cf2a5fe6636051fd7d8c2de5e29c4c517cbcda268b43685e6.exe,blaster,7,0,0,0,0,0,,0.0,0.999485,cnn_lstm
0dd7e499f79c50521a1b4d2115cb5d28f968b904e020c957c82b1997f397bb1a64536d4154025d61fd804e8950f2da3982501d09c29550be794c92b0331ccaaa4dc3812b37f2d508c7828f5ec499937db501d3f5a7d579e4eea20e03cde3d9aca5c5f471.exe,blaster,7,0,0,0,0,0,,0.0,0.999804,cnn_lstm
0dee0b96b8793d8dae316f2e175c2409603fb65410cc473f58b8e61de82fdd5bd7ee65892b26f2232c529d612ad877af3e8cc14eb4513989c1f6893d6113156170d7fa6879c41bc3f4b64d15bfd45958b92af90bbaed9914510ed2c71a077ce8fcb22312.exe,blaster,53,0,1,1,0,0,Timing Evasion|Network+Persistence Combo,0.5,0.999984,cnn_lstm
0df5f02a50607d16bae35bc59090dddca3e0d3fee0bde5cda063b45e4d4c6f76cba010a10b62ded8c08bd896f9ad8856b59756048eb7d015646d3478afc7fbce7497a3d44627b016d5bad2354a0d218d9324862d02735a2bdfdf90395b5c4c06838badd9.exe,blaster,100,0,0,0,0,0,Timing Evasion,0.45,1.0,cnn_lstm
0df7fea72d6998e70ae80ab8b7c9513aca38ef48cfdb6f8d47e0f52f5d4a7747f15c5624294f6cd42fd5771176dad9aa9900c0d24f12675e7a711bd78b674c53679179ea9713f4d7963e10602911f4761cfeb4b96fad8d07654cac540ed7b09213b5de4a.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
0df22c2b19a6c072dce93018285ea34f7b584b03f6d860fed8c2cddb1d0ca810ffc6b958f550a980dc028653b9a9a9e08143cd76eb14a2d45c3b72f8ca3195c2df6fa31f8214fa30fcd85161b983d78d845adda8e97b1957fc13530410ed8fadd8736101.exe,blaster,7,0,0,0,0,0,,0.0,0.999842,cnn_lstm
0e03f170951c6c27975ab4251bea2776080c4cdd90a202cf5fa71107bde759d50175ef58235be574959cc04bf6da3c6d2826a7847537d519a76957796ddf9a1ff0686400596c163a09c9b8e81e23cc17cc3cc73548d43daf6803d3b8b93d9577ed143065.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
0e7c585a738f4c35ceb5c35c7e6aaf11869eca060344a6682d155629125f4861e970b64526f0cef8142b41d582f8ed67ae74850083c4c5c21ef29ec2b6e887d78f1d4e5d523ba82e189e15aa1ea9124dc7c1a011115c88fb10ba896ef847c9da95bfe5fc.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
0e7e74a01855bdd84dbe40fe4dc9bdc7b1c875981a8ef50786668723f93757fe9c7fa94a05df15b8e28ceaeaf5ed3c24983026f862173c27431132c8e4960a01a5eb76875782478e1ac72c887747cd8fb773988d025e5c10a829c39a7a5f0219597f4079.exe,blaster,100,0,0,0,0,0,Timing Evasion,0.45,0.999782,cnn_lstm
0e8ee6d5d9c03437c6884b15520fb8572c9c50234a3b07067b7f062f6d232518d23ee5a1e1cc281ece2ee8b1391b2869e109c86da97bbb967847f9430be17bf970e893cdf8d30766448effc02616093371c9e4cdd5e009b1e927c5e2b41430274cb28554.exe,blaster,100,0,0,0,0,0,Timing Evasion,0.45,1.0,cnn_lstm
0e9af32553468fd92c46eff257af729c554d5c01086f2ff61ed868e2aa19605c721e0f577522b5aa7a5ef20a0f9097ec40c65db7687c51af2b7e97294328462bdfbfc4a611de17989f0e62249da0e1c0043aa54208d9b56db9538cb3be99150262a700e0.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
0eb45c92e47b22355bc5fb230d1211a4135c0115b5702d82c5243c2b2222d27a7a30e7b81f0d2134f86b25acb4374c013e202a2643f9e1fb2661b0c8d4b24283f6bc980e1558feca8881f6d788778cf0499c0214299670cbd07201b1042957323cc2e0f2.exe,blaster,53,0,1,1,0,0,Timing Evasion|Network+Persistence Combo,0.5,0.999998,cnn_lstm
0ee4a31134e2711e6a108e20dfa581a05bcb97c8754401df12203af2ac2d61d0473c96062a85a9becd20e647c1d15a587953dc38a14fce1b93e35ee162c16a4753bbfb6c61f7f061434838abfc84866cc9678c720099b8f642795ad2dc582d8e690ba4c5.exe,blaster,7,0,0,0,0,0,,0.0,0.999681,cnn_lstm
0ee8a48219e32f96a5078a2cab56ad4e1999ed9e0398dc8a227f3f25ac16fb83ff502f87d1b90c265d0e0e4a6c6ce62fbb365829472f72ab2d7cf226457bf5c612f680b50b218d0228efcd58621172b3fcd97f570364867bab311fcd88e0ebc1fb2b380a.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
0ef33c19b80e5238f89f2034b573d2c89d7909cf3e20db0bd1f4c0b34e4b292523991fead8cdead2850c2b436573583af5444d290fb2365fd69eb780002f0d71d20b8020eba6c50391b5aa0addf3461c6e4b95b70779115a444eb38efcb62734ea3d4739.exe,blaster,100,0,1,0,0,0,Timing Evasion,0.45,1.0,cnn_lstm
0f45dc45036b3df233468c3b4d805987cd5560734916bd5b319880954f4550fbb2dcf022378d40de7a9f5de174f6fe4aac546333f4c491d7feff6f1ba78db728758ca44565c1e82ee5746156698752e6bf4354416f83c67294e4d8dfb43b57b8d6601b55.exe,blaster,7,0,0,0,0,0,,0.0,0.999942,cnn_lstm
0f76de31d213b7beaf3a1041ee1fbe93577174435bdc243265e0396eaadbdefe79d927231a746abb11e09aeddce06f3483e62cd9b1ec27324a4fc8eafd735337b42eb73e5f96cd492f97094cb49f605b8c9fac7dc58473d7c1654529a5452cf8a9873e84.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
0fa5527e31d33b90c704201edbb70f38e33fabc0c78dad19e83d86c91e63a42200bb9bdf12bcd6a4547d7d4065127dce4ae7987f8ad594b47bdbabb70391761b06009cab030cd8c3c28e225af3ce3c71291fd8bab735195d8cb3188e6a4b5ca6cf63544d.exe,blaster,8,0,0,0,0,0,,0.0,0.999815,cnn_lstm
0fb891fb041d992f3594c52f12d3ee0de846b9510bf9ad1b96d2a02e54e1c1a6713d7da6e86257e175f47cf31287936115067ed71ca703ef90c4b796c916b102c76545430569d650dc22b86dc6d8a472280677e64c27b6a98e472c17bf512594052d4754.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
0fb981aa292ebf85dd53ef8a505a4b90be2a3309b6df4c913fe9d77ff578d5c32d976b041c4a44fd30141f013f6b370c6f6bb0b459dc7429f1cc1fd9a7df68ce52bd153ebaa44957aa792fe5cd780eb58fbfae65704f5384ab9e06405190fa1d5c61a65e.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
0fcee2ecc340a4d064ab569cd03b7fe244e0c8dd8c5a02f592e4f9265db7f5e9712fe5651736430440fe0bc3265df3ab69c29c85c52e03a632f4eb7a49dd695146a813531232bf2802219b9c85382bbf2b80cda17483bfc99ac3207cad38b0ea5353cc44.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
0fef479d73491733337e701019a40ab0d00942e60e7df4c7a53f5d3851a45120130f3d19e0b142aedcacc542a5b08260f81aef254efdd0f9b3564b2869899a24265c78bd644f61f2eb9aee94034e14999d27b4cedb256d79670b8cc6f472faa88f544424.exe,blaster,53,0,1,1,0,0,Timing Evasion|Network+Persistence Combo,0.5,0.999998,cnn_lstm
0ffee122ca0e526be171e5ea469b5f3c3ed95db4994dbddf842184e02f8a0c5c8a030bb99d8fd155cfc82ab9b38576b44a68d60377d9046f86f86d3a28917f8665d55a36bc352db9262346261f7b13e8be62da19d483adc9a977d6b448aaa04e9227f7b6.exe,blaster,7,0,0,0,0,0,,0.0,0.999804,cnn_lstm
01bb14493528fa2a3b30a4aac0bf5714a1d96dc0a1852796099cd44f970496b1ae4cc4b353c4f3132839e7a0b6a1535ecb465fef8d18db714d68c26a843a76ba809626cb095d1e39f27a90b0644b4dac432ac850c3b436509fa17170da8fe7fd8336d2ea.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
01d75aed276708da833ea121f99534ab2f1c74c13d9b573b55dba96eef95d46fc6090a2771dc61951eb807e5ba860006c46bb3715df0aee23531e0cb140f24f33b600dfce0c9963fcf087ef96470021a9b6a1363365e441228c189c10744ba7d4565b553.exe,blaster,53,0,1,1,0,0,Timing Evasion|Network+Persistence Combo,0.5,0.999998,cnn_lstm
01d5163f6e97b654c4e76f214a31be169f90210aabb7b689fe3e4b5f9b749d5d83ebdfd9c00b4d5545b0dceea9423fe215c83a8fb55afd84b8d2ca70b09a20d13435c9a3a1653b3f5a1ee0b2764e77b24d640bd3abea199727069219b919b49931bc6d1e.exe,blaster,100,0,0,0,0,0,Timing Evasion,0.45,1.0,cnn_lstm
01df0ecf8750b27f23ee8fccefe44b90ffc372725f81df660b9f1ac0835dd0fcbc4fdf0822ebb7c9294a058c40590f09f6c18f8970cdd98b7a97e04cc4680904b92a15e541af014aff575180ad4a6621cf706293a12e31642e09fb6316b96e223b120668.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
01f2ac7b11dad4f735da282c9c965085523e9b0a8824297ad090be0dc307bca3deb8a6820ccb8e5da5379cfe887c0d732c319b861388470986fb485ea7dfe94f6b2819a78eb018b17a679da2a86e53ef75d516a5480f216f7ecc223550b597aadba6a233.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
1a0e13e5df4abea8688af6ba0fa2a87491aa2bbd6b52a589207a6e3aeb398f9ea2bdd8aef7b9d2f1229caf5e6adcb0ea4c6d20aa7939e6dce4db40c4b2776201a0566f54e19d106ce808eb3e5826c50b77bb7c3f66ecedee2b38808e54ab3db842040036.exe,blaster,1,0,0,0,0,0,,0.0,0.85158,cnn_lstm
1a5bc8a9450ed0202bb20e3abdcf0fb971da6a3b319d2f33cfbd6ec4c86409974b4a72f83cb95e14c766bcd031e8b6eeb2b89d4ecd61e1d43e0eaf25a2882d0a781a1f9ab15e7b42e5079ccff8d8ea3e8960b38efb9ae7dc8ca3964b8e28a96a79b7f163.exe,blaster,3,0,0,0,0,0,,0.0,0.995339,cnn_lstm
1a8cd959f8ba06a535667fa4a18cc10043dcb5f99b6bdf547b4bec322af3a953d692edc3e609d1890fcbdafb70f6a7f3bf186cbee6ac9168ae429725996cec3fc8c48d262936c5c134f228d6441ca587766ab9c0b90137494ac12a8e3d5a0249332a54f2.exe,blaster,100,0,0,0,0,0,Timing Evasion,0.45,1.0,cnn_lstm
1a39d749d1d2ed4508139659e33d47b79b10f72e8872929fe4c75e7d046554265175d95746a4dd7ef6277e851dbe9f764f014790eb1bb211b2698e035daf0c55c866b8a78bd714d04fedbb6fbb7e22e66a83645cc5339192b787a1cf031258431dc6ffed.exe,blaster,8,0,0,0,0,0,,0.0,0.999815,cnn_lstm
1a39e43a23ce2b0adddb2907fae24a4bc4dd26813bf8605ab1fc426ce7e2210a56fe14ac6f495d8a6ef355e60a3b762d9f2ad089794137e78e88d983d197317c1444e2cadee989679df4f02ff7a3e7b7843f0b05444cb1bee49cb6c19b8e9d8580711390.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
1a48c98383cc2a617c78fb72f032757154033dbc97f514bb08fa6026f4d5ef03702a85d77a367e75fe68f0164805fb1988371997e00fb26dff570e3e9cc58d248ab9aab11d884b9c9a4ca8a53699daca74179b80b712ee5d43c1279618102ffc90a1c0f7.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
1a51e7bb158fad144fbd522d07ba05eead87d78d88045962d9ba60bc8c3789a6e0b8220eacd2b71f24c0e1aba329a7eaeb479072ad7afffd808c0304b1ac38cfa275f4a330c33fa0c2907120143c6cfcca14406d1e439a7e6dd6c7231ed57290c1767a75.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
1a67c6b6d8a46264324efaecdadc8f6c14c81e10dc6ce3f3a4812d70a4137703518cbdf13830292bc551cbb3be5f894f825962b2f53d252faf9a675f968edc88b45faaebc3d1f628aa4c9f53a812bfce56e54cc47b870bf79b6f91037f286524e3b7f599.exe,blaster,70,0,0,0,0,1,Privilege Escalation,0.7,1.0,cnn_lstm
1a205a249a633a9ad66171f7721ed7dfe61c7fc14ca086892c68883c737fa5a5b4b946b25987d511aa7456b753fc81dfe0297ac2a7f3a250d9a248bbde661190968677b00228080c02b666dbff3a3a80c6b96f98c30c979061337847b8d5b4dfbcc27b46.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
1a745a88befd5ccc3bbbc6c149492ffcbdb701c3a0b8373dfe90a9065241e5244df677f953dde8517735c4cc5c1236da78a44766b85050b78604362b37d2c3188d973988eeda4f6ec3fe5c0d9016fcb60de5cd786f864f9ec31d53b47b1a461631146494.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
1a874f5f6defdfd9919d491177376c94298bfd811c90ef85a1b5c34163f61fdc4e2dcf2cbf0fb07aa1bc1c29a944bcc20fbac6bc3e0ff7db6cf9d35a22620eba2d879cc7c39dea63b1caf4bd1b1499e587d9a535a07ff96a1930d1f937e1d9b404494c98.exe,blaster,7,0,0,0,0,0,,0.0,0.999942,cnn_lstm
